"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"ADELINO CANDIDO DA SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"20111";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADELINO DORRIGUETTI";"RONDONIA";"DEPUTADO ESTADUAL";"33444";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ADELINO RIBEIRO SILVA";"PARANA";"DEPUTADO ESTADUAL";"44800";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"ADELIR PADILHA DA VEIGA";"PARANA";"DEPUTADO ESTADUAL";"18988";"REDE SUSTENTABILIDADE";"1";"SUPLENTE"
"ADELITTA MONTEIRO NUNES";"CEARA";"DEPUTADO FEDERAL";"5000";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADELMACIR DE SOUZA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"51600";"PATRIOTA";"1";"SUPLENTE"
"ADELMAR RIBEIRO DA SILVA";"GOIAS";"DEPUTADO FEDERAL";"4438";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"ADELMO ALVES DOS SANTOS";"PERNAMBUCO";"DEPUTADO ESTADUAL";"28190";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADELMO CARNEIRO LEAO";"MINAS GERAIS";"DEPUTADO FEDERAL";"1350";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADELMO DE ANDRADE SOARES";"MARANHAO";"DEPUTADO ESTADUAL";"65555";"PARTIDO COMUNISTA DO BRASIL";"1";"ELEITO POR QP"
"ADELMO JOSE LIMA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"44200";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"ADELMO JOSE SILVA DE ASSIS";"ALAGOAS";"DEPUTADO FEDERAL";"3000";"PARTIDO NOVO";"1";"NAO ELEITO"
"ADELONES MARTINS DE MOURA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"36621";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ADELSO BATISTA";"PARANA";"DEPUTADO ESTADUAL";"33123";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ADELSON BARRETO DOS SANTOS";"SERGIPE";"DEPUTADO FEDERAL";"2222";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ADELSON DE OLIVEIRA";"ALAGOAS";"DEPUTADO ESTADUAL";"77123";"SOLIDARIEDADE";"1";"SUPLENTE"
"ADELSON EUZEBIO DOS SANTOS";"PERNAMBUCO";"DEPUTADO ESTADUAL";"28444";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADELSON FONSECA BEZERRA";"SAO PAULO";"DEPUTADO FEDERAL";"3027";"PARTIDO NOVO";"1";"SUPLENTE"
"ADELSON FRANCISCO DA SILVA";"RONDONIA";"DEPUTADO ESTADUAL";"10500";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ADELSON JOSE DE FRANCA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"51234";"PATRIOTA";"1";"NAO ELEITO"
"ADELSON PEREIRA GUEDES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"13011";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADEMAR ALVES DE CARVALHO";"SAO PAULO";"DEPUTADO ESTADUAL";"22432";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ADEMAR BATISTA BANDEIRA";"AMAPA";"DEPUTADO ESTADUAL";"20700";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADEMAR BUENO DA SILVA JUNIOR";"SAO PAULO";"DEPUTADO ESTADUAL";"18188";"REDE SUSTENTABILIDADE";"1";"SUPLENTE"
"ADEMAR COSTA GONCALVES";"MARANHAO";"DEPUTADO ESTADUAL";"35800";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"ADEMAR COUTINHO DEVENS";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"55369";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"ADEMAR DE ALENCAR SANTOS";"PARA";"DEPUTADO ESTADUAL";"11258";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ADEMAR DE SOUSA PARENTE";"TOCANTINS";"1º SUPLENTE";"177";"PARTIDO SOCIAL LIBERAL";"1";"NAO ELEITO"
"ADEMAR DO NASCIMENTO";"PARANA";"DEPUTADO ESTADUAL";"10200";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ADEMAR FRANCISCO RIBEIRO";"BAHIA";"DEPUTADO FEDERAL";"1256";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ADEMAR LINEU DORFSCHMIDT";"PARANA";"DEPUTADO FEDERAL";"1550";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADEMAR LUIZ TRAIANO";"PARANA";"DEPUTADO ESTADUAL";"45789";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR QP"
"ADEMAR MACHADO DA SILVA";"MATO GROSSO";"DEPUTADO ESTADUAL";"45444";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADEMAR PAHL FILHO";"SANTA CATARINA";"DEPUTADO ESTADUAL";"17007";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADEMAR PIRES FILHO";"MARANHAO";"DEPUTADO ESTADUAL";"54000";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"ADEMAR RODRIGUES DE MORAES";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"17211";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADEMAR SIMOES DE AZEVEDO";"BAHIA";"DEPUTADO ESTADUAL";"15153";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADEMARIO DE OLIVEIRA";"ALAGOAS";"DEPUTADO FEDERAL";"5153";"PATRIOTA";"1";"NAO ELEITO"
"ADEMILDO AZEVEDO DO NASCIMENTO";"SERGIPE";"DEPUTADO ESTADUAL";"20456";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADEMILSON DE SOUSA COSTA";"AMAZONAS";"DEPUTADO ESTADUAL";"15015";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADEMILSON DIAS DO NASCIMENTO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"50199";"PARTIDO SOCIALISMO E LIBERDADE";"1";"SUPLENTE"
"ADEMILSON MIGUEL FERNANDES";"SAO PAULO";"DEPUTADO ESTADUAL";"50444";"PARTIDO SOCIALISMO E LIBERDADE";"1";"SUPLENTE"
"ADEMILSON PEIXOTO SOARES";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"33133";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ADEMILTON SANTANA DE MIRANDA";"BAHIA";"DEPUTADO FEDERAL";"4333";"PARTIDO VERDE";"1";"SUPLENTE"
"ADEMIM SANTOS SILVA";"GOIAS";"DEPUTADO ESTADUAL";"13222";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADEMIR ALMEIDA DA SILVA FIDELIS";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"11001";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ADEMIR ANDRADE DE OLIVEIRA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"36923";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"ADEMIR ANTONIO OSMAR BIER";"PARANA";"DEPUTADO ESTADUAL";"55000";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"ADEMIR ARNILDO KUHN";"SANTA CATARINA";"2º SUPLENTE";"500";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADEMIR BITENCOURT AZEVEDO";"PARA";"DEPUTADO ESTADUAL";"50456";"PARTIDO SOCIALISMO E LIBERDADE";"1";"SUPLENTE"
"ADEMIR BRASIL FILHO";"PARANA";"DEPUTADO FEDERAL";"1711";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADEMIR CAMILO PRATES RODRIGUES";"MINAS GERAIS";"DEPUTADO FEDERAL";"1531";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADEMIR CESAR MACHADO";"PARANA";"DEPUTADO FEDERAL";"4340";"PARTIDO VERDE";"1";"SUPLENTE"
"ADEMIR COSTA";"SERGIPE";"DEPUTADO ESTADUAL";"23100";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"ADEMIR CUNHA BRANDAO";"CEARA";"DEPUTADO FEDERAL";"5121";"PATRIOTA";"1";"SUPLENTE"
"ADEMIR DA GUIA";"SAO PAULO";"DEPUTADO ESTADUAL";"31010";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ADEMIR DA PENHA CLEMENTE";"SAO PAULO";"DEPUTADO ESTADUAL";"77001";"SOLIDARIEDADE";"1";"SUPLENTE"
"ADEMIR DE SOUZA SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"44900";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"ADEMIR GONCALVES";"PARANA";"DEPUTADO ESTADUAL";"23113";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"ADEMIR GONCALVES DE OLIVEIRA";"SAO PAULO";"DEPUTADO FEDERAL";"5158";"PATRIOTA";"1";"NAO ELEITO"
"ADEMIR HIPOLITO DE OLIVEIRA";"GOIAS";"DEPUTADO ESTADUAL";"51233";"PATRIOTA";"1";"SUPLENTE"
"ADEMIR JOSE DA SILVA";"SAO PAULO";"DEPUTADO FEDERAL";"1098";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ADEMIR LUCAS GOMES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"77444";"SOLIDARIEDADE";"1";"SUPLENTE"
"ADEMIR MADEIRA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2857";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ADEMIR MANES";"PARANA";"DEPUTADO FEDERAL";"7000";"AVANTE";"1";"SUPLENTE"
"ADEMIR MENDONCA";"PARANA";"DEPUTADO ESTADUAL";"23530";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"ADEMIR PEREIRA DE ARAUJO";"RONDONIA";"DEPUTADO ESTADUAL";"90777";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADEMIR PINHEIRO GONCALVES";"GOIAS";"DEPUTADO ESTADUAL";"55300";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"ADEMIR SANTOS OLIVEIRA";"BAHIA";"DEPUTADO ESTADUAL";"28999";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ADEMIR ZACARIAS DA SILVA";"PARANA";"DEPUTADO ESTADUAL";"20220";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADENAILTON DOS SANTOS TOURINHO";"BAHIA";"DEPUTADO ESTADUAL";"23444";"PARTIDO POPULAR SOCIALISTA";"1";"NAO ELEITO"
"ADENI CORREA LIMA";"AMAPA";"DEPUTADO ESTADUAL";"40002";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADENILDE ALVES FIGUEIREDO";"SERGIPE";"DEPUTADO ESTADUAL";"19456";"PODEMOS";"1";"SUPLENTE"
"ADENILSA CHAVES CONCEICAO";"PARA";"DEPUTADO ESTADUAL";"31001";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ADENILSON APARECIDO BARBOSA";"SAO PAULO";"DEPUTADO ESTADUAL";"12999";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ADENILSON APARECIDO FIRMINO DA ROCHA";"MATO GROSSO";"DEPUTADO ESTADUAL";"45145";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADENILSON CANDIDO DE SOUZA";"MATO GROSSO";"DEPUTADO ESTADUAL";"10190";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ADENILSON GUERRA";"SAO PAULO";"DEPUTADO FEDERAL";"4085";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADENILSON HONORATO DA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"77033";"SOLIDARIEDADE";"1";"SUPLENTE"
"ADENILSON LOPES TRINDADE";"GOIAS";"DEPUTADO ESTADUAL";"44633";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"ADENILTON FERREIRA DA SILVA";"SAO PAULO";"DEPUTADO FEDERAL";"4396";"PARTIDO VERDE";"1";"SUPLENTE"
"ADENIZIA DA ROCHA PESSOA";"ACRE";"DEPUTADO ESTADUAL";"10510";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ADENOR  LUIZ SIMOES COELHO";"MINAS GERAIS";"DEPUTADO FEDERAL";"4045";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADERALDO GONCALVES DO NASCIMENTO JUNIOR";"PARAIBA";"DEPUTADO ESTADUAL";"33333";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ADERBAL FULCO CALDAS";"BAHIA";"DEPUTADO ESTADUAL";"11111";"PARTIDO PROGRESSISTA";"1";"ELEITO POR QP"
"ADERILSON SANTOS DA SILVA";"AMAPA";"DEPUTADO ESTADUAL";"19369";"PODEMOS";"1";"NAO ELEITO"
"ADERITO CASSIO DE ASSIS DUTRA";"SAO PAULO";"DEPUTADO FEDERAL";"5080";"PARTIDO SOCIALISMO E LIBERDADE";"1";"SUPLENTE"
"ADERLEY CARNEIRO GUEDES";"RORAIMA";"DEPUTADO ESTADUAL";"22255";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ADERMIS MARINI JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"4533";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADERVAL DA ROCHA FERREIRA FILHO";"RORAIMA";"DEPUTADO ESTADUAL";"55321";"PARTIDO SOCIAL DEMOCRATICO";"1";"NAO ELEITO"
"ADERVAL ROCHA TENORIO";"ALAGOAS";"DEPUTADO FEDERAL";"5151";"PATRIOTA";"1";"NAO ELEITO"
"ADEZIO DIAS BARBOZA";"SAO PAULO";"DEPUTADO FEDERAL";"3540";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"ADHARA CAMPOS VIEIRA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"43003";"PARTIDO VERDE";"1";"SUPLENTE"
"ADIENE CRISTINA SCAREL BRENGA";"SAO PAULO";"DEPUTADO ESTADUAL";"33233";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ADILA VALDEMIRA SEVERINO DAS NEVES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"36633";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"ADILAINE ADRIANA GUIMARAES PIRES FONSECA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"27983";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"ADILCIMAR AGUIAR PARENTE";"TOCANTINS";"DEPUTADO ESTADUAL";"17750";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADILEA MARINHO AREDE";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"33099";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"NAO ELEITO"
"ADILENE DE LIMA NOBRE ";"CEARA";"DEPUTADO FEDERAL";"5090";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADILIO SALVADOR SARAIVA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2899";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ADILMAR ARCENIO DOS SANTOS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"45123";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADILO ANGELO DIDOMENICO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"14557";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADILOR GUGLIELMI";"SANTA CATARINA";"DEPUTADO ESTADUAL";"45110";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADILSON ALVES DE OLIVEIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"35600";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"ADILSON ALVES LEANDRO";"PARANA";"DEPUTADO ESTADUAL";"20020";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADILSON BANDEIRA DE ANDRADE";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"35193";"PARTIDO DA MULHER BRASILEIRA";"1";"NAO ELEITO"
"ADILSON BARBOSA DOS SANTOS";"SERGIPE";"DEPUTADO ESTADUAL";"50007";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADILSON BARROSO OLIVEIRA";"SAO PAULO";"DEPUTADO FEDERAL";"5151";"PATRIOTA";"1";"NAO ELEITO"
"ADILSON BLANCO MARUJO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1060";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ADILSON BORGES DE JESUS";"GOIAS";"DEPUTADO ESTADUAL";"40130";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADILSON CARLINDO DOS SANTOS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"36377";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"ADILSON CERQUEIRA";"BAHIA";"DEPUTADO ESTADUAL";"51605";"PATRIOTA";"1";"SUPLENTE"
"ADILSON CESAR DE OLIVEIRA SOUZA";"AMAPA";"DEPUTADO ESTADUAL";"43292";"PARTIDO VERDE";"1";"SUPLENTE"
"ADILSON DA SILVA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"44456";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"ADILSON DE JESUS SANTOS";"SERGIPE";"DEPUTADO ESTADUAL";"23333";"PARTIDO POPULAR SOCIALISTA";"1";"ELEITO POR QP"
"ADILSON DE OLIVEIRA CARVALHO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"51190";"PATRIOTA";"1";"SUPLENTE"
"ADILSON ESPINDULA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"14123";"PARTIDO TRABALHISTA BRASILEIRO";"1";"ELEITO POR QP"
"ADILSON EUGENIO DE LIMA";"SAO PAULO";"DEPUTADO ESTADUAL";"51789";"PATRIOTA";"1";"SUPLENTE"
"ADILSON FREITAS GUIMARAES";"GOIAS";"DEPUTADO ESTADUAL";"51789";"PATRIOTA";"1";"SUPLENTE"
"ADILSON GALINDO RAMOS";"SERGIPE";"DEPUTADO ESTADUAL";"23300";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"ADILSON GOMES SILVA";"PERNAMBUCO";"2º SUPLENTE";"156";"PARTIDO SOCIALISTA BRASILEIRO";"1";"ELEITO"
"ADILSON GONCALVES FERREIRA";"RONDONIA";"DEPUTADO ESTADUAL";"22456";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ADILSON GONCALVES MOREIRA";"RORAIMA";"DEPUTADO ESTADUAL";"36555";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"ADILSON GUIMARAES LAVRA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"10147";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ADILSON JESUS DA SILVA";"BAHIA";"DEPUTADO ESTADUAL";"20222";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADILSON JORGE ROSSY DOS SANTOS";"MINAS GERAIS";"DEPUTADO FEDERAL";"1478";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADILSON JOSE CAETANO";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"90700";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADILSON JOSE DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"27120";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"ADILSON LIPSKI";"PARANA";"DEPUTADO ESTADUAL";"43433";"PARTIDO VERDE";"1";"SUPLENTE"
"ADILSON LUIZ DA CRUZ";"SAO PAULO";"DEPUTADO ESTADUAL";"31034";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ADILSON MAIA ROSA";"AMAZONAS";"2º SUPLENTE";"500";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADILSON MARIANO";"SANTA CATARINA";"DEPUTADO FEDERAL";"5070";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADILSON MARQUES DOS SANTOS";"SERGIPE";"DEPUTADO ESTADUAL";"12888";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ADILSON MENDES FONSECA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1230";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ADILSON MORAES DE LUCENA";"PARAIBA";"DEPUTADO ESTADUAL";"65224";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ADILSON NOGUEIRA PIRES";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1320";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADILSON NUNES DE LIMA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"18200";"REDE SUSTENTABILIDADE";"1";"SUPLENTE"
"ADILSON PEREIRA DA COSTA";"AMAPA";"DEPUTADO FEDERAL";"3333";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"NAO ELEITO"
"ADILSON PEREIRA DE OLIVEIRA";"GOIAS";"DEPUTADO ESTADUAL";"40004";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADILSON PINHEIRO DA SILVA";"MINAS GERAIS";"DEPUTADO FEDERAL";"7073";"AVANTE";"1";"SUPLENTE"
"ADILSON RODRIGUES";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"18000";"REDE SUSTENTABILIDADE";"1";"SUPLENTE"
"ADILSON ROSSI";"SAO PAULO";"DEPUTADO ESTADUAL";"40400";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADILSON SOARES DE ALMEIDA";"RORAIMA";"DEPUTADO FEDERAL";"1122";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ADILSON SOARES ZELA";"PARANA";"DEPUTADO ESTADUAL";"54000";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"ADILSON TROCA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"45123";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADILSON VICENTE DA SILVA";"BAHIA";"DEPUTADO FEDERAL";"1777";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADILSON VIEIRA DINIZ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"17555";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADILTON DOMINGOS SACHETTI";"MATO GROSSO";"SENADOR";"100";"PARTIDO REPUBLICANO BRASILEIRO";"1";"NAO ELEITO"
"ADIMAR BARRETO DE MELO";"AMAPA";"DEPUTADO FEDERAL";"4331";"PARTIDO VERDE";"1";"NAO ELEITO"
"ADIMARIO TEODORO DA SILVA LEITE DE FARIA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"10011";"PARTIDO REPUBLICANO BRASILEIRO";"1";"NAO ELEITO"
"ADIMILSON DA ROSA BRITES";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"10033";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ADIMILSON MENDES AMARAL JUNIOR";"PARA";"DEPUTADO ESTADUAL";"31777";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ADINALDO EXPEDITO FERREIRA VIANA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"65010";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ADINAN AMORIM MACHADO DE FREITAS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"31890";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ADIR CARDOSO GENTIL";"TOCANTINS";"DEPUTADO FEDERAL";"1919";"PODEMOS";"1";"SUPLENTE"
"ADIR FREDERICO";"PARANA";"DEPUTADO ESTADUAL";"28357";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADIR HENRIQUE DOS SANTOS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"28238";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADIR LUIZ PAGLIARINI";"ACRE";"DEPUTADO ESTADUAL";"17681";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADIR PEREIRA DOS SANTOS";"SANTA CATARINA";"DEPUTADO ESTADUAL";"19123";"PODEMOS";"1";"SUPLENTE"
"ADJANY SIMPLICIO DE CASTRO";"PARAIBA";"VICE-GOVERNADOR";"50";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADJUTO DIAS DE ARAUJO NETO";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"15555";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADJUTO RODRIGUES AFONSO";"AMAZONAS";"DEPUTADO ESTADUAL";"12111";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"ELEITO POR QP"
"ADLER RICARDO MARQUES DA SILVA";"ALAGOAS";"DEPUTADO ESTADUAL";"90000";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADMILSON LUCIO OLIVEIRA";"SAO PAULO";"DEPUTADO FEDERAL";"1364";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADMILSON MARINHO DE LIMA";"GOIAS";"DEPUTADO FEDERAL";"5005";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADMILSON NASCIMENTO SANTOS";"BAHIA";"DEPUTADO ESTADUAL";"20020";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADMIR DONIZETI FERRO";"SAO PAULO";"DEPUTADO ESTADUAL";"40740";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADMIR GERVASIO MOREIRA";"SAO PAULO";"DEPUTADO FEDERAL";"5444";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"ADMIR MACHADO";"PARANA";"DEPUTADO ESTADUAL";"19345";"PODEMOS";"1";"NAO ELEITO"
